"","SubplotID","SPP","Chew","mScrape","iScrape","Mine","Gall","Window","Lspot","Rust","Pmildew","Dmildew","Blight","wet","rhiz.like","clorosis","white.mildew.like.thing","thrips","tent","scler.like","Phomopsis","lf.curl","necrotic.lesion","Chlorotic.spots","Choking","slime_mold_like","Chew.l","mScrape.l","iScrape.l","Mine.l","Gall.l","Window.l","Lspot.l","Rust.l","Pmildew.l","Dmildew.l","Blight.l","wet.l","rhiz.like.l","chlorosis.l","mildew_like.l","thrips.l","tent.l","scler.like.l","Phomopsis.l","lf.curl.l","necrotic.lesion.l","Chlorotic.spots.l","Choking.l","slime_mold_like.l","Disease.l","Herbivory.l","tot.damage.l","Disease","Herbivory","tot.damage","abs_cover","tot_cover","rel_cover"
"1","A1.2.2","Asperula cynanchica",0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147058823529412,0,0,0,0.00147058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147058823529412,0.00147058823529412,0.00294117647058824,0.1,0.1,0.2,1,68,0.0147058823529412
"2","A1.2.2","Brachypodium pinnatum",0.684210526315789,0,0.0526315789473684,0,0,0,0.421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271671826625387,0,0.0208978328173375,0,0,0,0.1671826625387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1671826625387,0.292569659442724,0.459752321981424,0.421052631578947,0.736842105263158,1.15789473684211,27,68,0.397058823529412
"3","A1.2.2","Campanula glomerata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,68,0.0735294117647059
"4","A1.2.2","Carex flacca",1.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529411764705882,0,0,0,0,0,0.0117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117647058823529,0.0529411764705882,0.0647058823529412,0.4,1.8,2.2,2,68,0.0294117647058824
"5","A1.2.2","Centaurea jacea",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147058823529412,0.00147058823529412,0,0.2,0.2,0.5,68,0.00735294117647059
"6","A1.2.2","Euphorbia cyparissias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,68,0.0294117647058824
"7","A1.2.2","Euphrasia sp",0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00441176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00441176470588235,0,0.00441176470588235,0.6,0,0.6,0.5,68,0.00735294117647059
"8","A1.2.2","Leontodon sp",3,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,4,4.2,0,68,0
"9","A1.2.2","Potentilla sp",0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110294117647059,0.0110294117647059,0,0.75,0.75,1,68,0.0147058823529412
"10","A1.2.2","Prunella vulgaris",0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,68,0
