Original,species,genus,family,Notes
Hippocrepis comosa,Hippocrepis comosa,Hippocrepis,,
Homogyne alpina,Homogyne alpina,Homogyne,,
Hypericum sp,Hypericum sp,Hypericum,,
Hypericum perforatum,Hypericum perforatum,Hypericum,,
Juniperus communis,Juniperus communis,Juniperus,,
Knautia arvensis,Knautia arvensis,Knautia,,
Larix decidua,Larix decidua,Larix,,
Lathyrus pratensis,Lathyrus pratensis,Lathyrus,,
Leontodon sp,Leontodon sp,Leontodon,,
Scorzoneroides autumnalis,Scorzoneroides autumnalis,Scorzoneroides,,
Leontodon hispidus,Leontodon hispidus,Leontodon,,
Leucanthemum vulgare,Leucanthemum vulgare,Leucanthemum,,
Linum catharticum,Linum catharticum,Linum,,
Lolium perenne,Lolium perenne,Lolium,,
Lotus corniculatus,Lotus corniculatus,Lotus,,
Lotus maritimus,Lotus maritimus,Lotus,,
Luzula sp,Luzula sp,Luzula,,
Maianthemum bifolium,Maianthemum bifolium,Maianthemum,,
Medicago lupulina,Medicago lupulina,Medicago,,
Medicago falcata,Medicago falcata,Medicago,,
Molinia caerulea,Molinia caerulea,Molinia,,
Ononis spinosa,Ononis spinosa,Ononis,,
Orchidaceae sp,Orchidaceae sp,Orchidaceae,,
Neotinea ustulata,Neotinea ustulata,Neotinea,,
Pastinaca sativa,Pastinaca sativa,Pastinaca,,
Peucedanum oreoselinum,Peucedanum oreoselinum,Peucedanum,,
Phleum pratense,Phleum pratense,Phleum,,
Hieracium pilosella / Hieracium hoppeanum,Hieracium pilosella,Hieracium,,Changed from Hieracium pilosella / Hieracium hoppeanum to separate rows for Hieracium pilosella and Hieracium hoppeanum. Need to figure out how to combine for phylogenetic diversity
Hieracium pilosella / Hieracium hoppeanum,Hieracium hoppeanum,Hieracium,,Changed from Hieracium pilosella / Hieracium hoppeanum to separate rows for Hieracium hoppeanum. Need to figure out how to combine for phylogenetic diversity
Hieracium lactucella,Hieracium lactucella,Hieracium,,
Hieracium piloselloides,Hieracium piloselloides,Hieracium,,
Pimpinella saxifraga,Pimpinella saxifraga,Pimpinella,,
Pinus sp,Pinus sp,Pinus,,
Plantago atrata,Plantago atrata,Plantago,,
Plantago lanceolata,Plantago lanceolata,Plantago,,
Plantago major,Plantago major,Plantago,,
Plantago media,Plantago media,Plantago,,
Poa sp,Poa sp,Poa,,
Poa sp A1.6.1,Poa sp A1.6.1,Poa,,Removed from phylogeny since it is redundant with Poa sp
Poa badensis,Poa badensis,Poa,,
Poa annua,Poa annua,Poa,,
Poa pratensis,Poa pratensis,Poa,,
Poaceae sp,Poaceae sp,,Poaceae,Might need to remove from phylogeny
Bromus sp / Koeleria sp,Bromus sp,Bromus,Poaceae,Changed from Bromus sp / Koeleria sp to separate rows for Bromus sp and Koeleria sp. Need to figure out how to combine later
Bromus sp / Koeleria sp,Koeleria sp,Koeleria,Poaceae,Changed from Bromus sp / Koeleria sp to separate rows for Bromus sp and Koeleria sp. Need to figure out how to combine later
Poaceae sp 1,Poaceae sp 1,,Poaceae,Removed from phylogeny since it is redundant with Poaceae sp
Poaceae sp 2,Poaceae sp 2,,Poaceae,Removed from phylogeny since it is redundant with Poaceae sp
Polygala alpestris,Polygala alpestris,Polygala,,
Polygala chamaebuxus,Polygala chamaebuxus,Polygala,,
Polygala comosa,Polygala comosa,Polygala,,
Polygala vulgaris,Polygala vulgaris,Polygala,,
Rumex sp,Rumex sp,Rumex,,
Potentilla erecta,Potentilla erecta,Potentilla,,
Potentilla sp ,Potentilla sp ,Potentilla,,
Potentilla sp I7.1.1,Potentilla sp I7.1.1,Potentilla,,Removed from phylgoeny since it's redundant with Potentilla sp
Primula sp,Primula sp,Primula,,
Primula veris,Primula veris,Primula,,
Prunella sp,Prunella sp,Prunella,,
Prunella grandiflora,Prunella grandiflora,Prunella,,
Prunella vulgaris,Prunella vulgaris,Prunella,,
Pteridium aquilinum,Pteridium aquilinum,Pteridium,,
Pulsatilla sp,Pulsatilla sp,Pulsatilla,,
Ranunculus acris,Ranunculus acris,Ranunculus,,
Ranunculus bulbosus,Ranunculus bulbosus,Ranunculus,,
Ranunculus montanus,Ranunculus montanus,Ranunculus,,
Ranunculus sp,Ranunculus sp,Ranunculus,,
Ranunculus tuberosus,Ranunculus nemorosus,Ranunculus,,
Rubus fruticosus,Rubus fruticosus,Rubus,,
Rosa sp,Rosa sp,Rosa,,
Salvia pratensis,Salvia pratensis,Salvia,,
Sanguisorba minor,Sanguisorba minor,Sanguisorba,,
Scabiosa sp,Scabiosa sp,Scabiosa,,
Scabiosa columbaria,Scabiosa columbaria,Scabiosa,,
Scabiosa lucida,Scabiosa lucida,Scabiosa,,
Sedum album,Sedum album,Sedum,,
Sesleria caerulea,Sesleria caerulea,Sesleria,,
Silene nutans,Silene nutans,Silene,,
Silene vulgaris,Silene vulgaris,Silene,,
Soldanella alpina,Soldanella alpina,Soldanella,,
Stachys officinalis,Stachys officinalis,Stachys,,
Taraxacum sp,Taraxacum sp,Taraxacum,,
Taraxacum sp / Leontodon sp,Taraxacum sp / Leontodon sp,,,Removed because I already have rows for Traxacum sp and Leontodon sp. Need to figure out how to combine later
Teucrium chamaedrys,Teucrium chamaedrys,Teucrium,,
Teucrium montanum,Teucrium montanum,Teucrium,,
Thymus serpyllum,Thymus serpyllum,Thymus,,
Tragopogon pratensis,Tragopogon pratensis,Tragopogon,,
Trifolium montanum,Trifolium montanum,Trifolium,,
Trifolium pratense,Trifolium pratense,Trifolium,,
Trifolium repens,Trifolium repens,Trifolium,,
Trollius europaeus,Trollius europaeus,Trollius,,
Tussilago farfara,Tussilago farfara,Tussilago,,
Vaccinium vitis-idaea,Vaccinium vitis-idaea,Vaccinium,,
Veratrum album,Veratrum album,Veratrum,,
Veronica sp,Veronica sp,Veronica,,
Veronica chamaedrys,Veronica chamaedrys,Veronica,,
Veronica officinalis,Veronica officinalis,Veronica,,
Veronica spicata,Veronica spicata,Veronica,,
Vicia cracca,Vicia cracca,Vicia,,
Vicia sepium,Vicia sepium,Vicia,,
Viola sp,Viola sp,Viola,,
